audio_file|text|speaker_name
vago_001.wav|Ez Felhív a|vago
vago_002.wav|pedig a bohém életet.|vago
vago_003.wav|Franciska.|vago
vago_004.wav|Mert olyan boldogan jelölte volna meg egyedül a Falstaffot.|vago
vago_005.wav|Na, nézzük, melyik a víg.|vago
vago_006.wav|Hát érdemelt volt.|vago
vago_007.wav|Ez itt Magyarország legizgalmasabb kvízjátéka.|vago
vago_008.wav|A Legyen ön is milliomos!|vago
vago_009.wav|Jó estét kívánok!|vago
vago_010.wav|Hűha!|vago
vago_011.wav|Nagyon-nagyon sok szeretettel.|vago
vago_012.wav|Ne hozza lang zavarba!|vago
vago_013.wav|Játszunk inkább, játszunk inkább!|vago
vago_014.wav|De kedvesek, milyen szép!|vago
vago_015.wav|Sokan jöttek el!|vago
vago_016.wav|Sokféleképpen tartunk kapcsolatot, aztán húszmilliót is nyernek itt nálunk.|vago
vago_017.wav|S ne zárjuk ki, hogy nemsokára megint lesz valaki, aki sok-sok pénzt viszel tőlünk.|vago
vago_018.wav|Szóval a kapcsolatokról nem tudom, hogy hallottak-e már róla?|vago
vago_019.wav|A teletext az RTL Teletext 642.|vago
vago_020.wav|oldalán is veszünk fel már kérdéseket.|vago
vago_021.wav|Aztán itt van az internet, ez egyre bővül ott is.|vago
vago_022.wav|A legkönnyebb kérdéseket itt tesszük fel, ott viszont hamar is kell válaszolni.|vago
vago_023.wav|No, akkor ismerkedjünk meg a mai műsor játékos jelöltjeivel.|vago
vago_024.wav|Léber László - Szentendre.|vago
vago_025.wav|Zagyva Joli bér - Mezőkövesd.|vago
vago_026.wav|Óvári Gáborné - Budapest.|vago
vago_027.wav|Pardi László - Miskolc.|vago
vago_028.wav|Perkáné Pellérti Zsuzsanna - Kaposvár.|vago
vago_029.wav|Nagy Sándor - Debrecen.|vago
vago_030.wav|Szutor Katalin - Budapest.|vago
vago_031.wav|Dr.|vago
vago_032.wav|Kálca László - Pusztavacs.|vago
vago_033.wav|Báncsaba - Budapest.|vago
vago_034.wav|És Nik Judit - Solymar.|vago
vago_035.wav|A Népszabadság archívumából itt az első sor kérdés.|vago
vago_036.wav|A) Titanic.|vago
vago_037.wav|B) Kontiki.|vago
vago_038.wav|C) Santa Maria.|vago
vago_039.wav|Na kérem, és akkor lássuk, hogy időrendben hogyan követik egymást ezek a híres hajók.|vago
vago_040.wav|Ez a B.|vago
vago_041.wav|Heyerdahl hajója, tehát C, D, A, B.|vago
vago_042.wav|Ez a helyes sorrend.|vago
vago_043.wav|Hány zöldet látunk?|vago
vago_044.wav|Mindössze hármat!|vago
vago_045.wav|És Nagy Sándornak sikerült előbb föl.|vago
vago_046.wav|Gratulálok Sándor, jöjjön!|vago
vago_047.wav|Gratulálok!|vago
vago_048.wav|Nagy Sándornak, aki Debrecenből érkezett el hozzánk.|vago
vago_049.wav|Nagyon szép volt a megfejtése.|vago
vago_050.wav|Tehát egy földrajz-történelem szakos tanár?|vago
vago_051.wav|Jól mondom?|vago
vago_052.wav|Ez talán elvárható.|vago
vago_053.wav|Képzeljék el, Nagy Sándor GYES-en van.|vago
vago_054.wav|Hogy alakult ez így?|vago
vago_055.wav|Merthogy ritka, hát nyilvánvalóan erre van mód.|vago
vago_056.wav|Én se akarok kimaradni.|vago
vago_057.wav|Na ez milyen?|vago
vago_058.wav|És süt, főz is otthon?|vago
vago_059.wav|És a kisgyermek most nincs itt?|vago
vago_060.wav|Azt látom, ki van, kivel jöttél?|vago
vago_061.wav|Hogy hasonlít egymásra a két hölgy?|vago
vago_062.wav|Kedves Sándor, Mutatok először is egy pénz és számvitelinek számokat.|vago
vago_063.wav|Jó?|vago
vago_064.wav|Tizenöt kérdés az első ötezret ér, a tizenötödik negyven milliót.|vago
vago_065.wav|Közben két garantált lépés a százezres, illetve a másfél milliós.|vago
vago_066.wav|Három segítség a számítógép, a telefon, illetve a közönség.|vago
